ipa_funding,ma_premium,ma_risk_score,mbr_with_rx_rebates,partd_premium,pcp_cap,pcp_ffs,plan_premium,prof,reinsurance,risk_score_partd,rx,rx_rebates,rx_with_rebates,rx_without_rebates,spec_cap
8274.59,9061.11,11.62,187.95,220.21,499.5,0.0,10062.44,0.0,8.41,0.0,22.26,0.0,22.09,22.48,941.42
8178.26,9584.17,8.37,256.42,251.39,517.06,0.0,9202.54,0.0,9.67,0.0,338.99,0.0,365.09,358.01,806.68
4085.63,4077.06,4.11,394.32,197.25,511.77,0.0,4763.15,0.0,9.04,0.0,0.0,0.0,0.0,0.0,829.17
5907.48,7877.8,6.77,272.73,300.38,554.94,0.0,7547.48,0.0,9.42,0.0,153.98,0.0,160.12,166.95,863.2
3602.56,4272.31,4.0,500.24,72.76,530.79,0.0,3988.46,0.0,9.6,0.0,0.0,0.0,0.0,0.0,947.63
7873.04,9869.19,10.96,236.53,187.26,507.1,0.0,9664.18,0.0,8.67,0.0,255.11,0.0,235.57,258.77,869.29
6205.43,7284.25,7.68,320.44,209.98,478.93,0.0,6631.56,0.0,9.36,0.0,388.35,0.0,334.71,343.9,850.43
9204.9,10401.59,10.95,189.51,233.03,545.85,0.0,9527.53,0.0,8.9,0.0,0.0,0.0,0.0,0.0,900.15
4805.91,5653.71,5.43,329.92,270.18,471.7,0.0,5737.35,0.0,8.59,0.0,0.0,0.0,0.0,0.0,939.37
3549.14,4008.46,4.61,665.42,120.22,455.79,0.0,4543.23,0.0,8.91,0.0,550.98,0.0,492.18,490.38,812.0
16140.35,16717.26,19.4,353.91,362.9,480.31,0.0,16767.55,3114.31,8.25,0.0,610.26,0.0,566.18,664.7,833.98
5835.76,6856.39,7.59,260.42,75.95,517.06,0.0,8257.57,0.0,8.1,0.0,0.0,0.0,0.0,0.0,901.09
4497.49,5138.92,5.67,355.42,39.48,550.66,0.0,5304.62,0.0,8.5,0.0,0.0,0.0,0.0,0.0,878.15
3904.63,4562.32,4.34,457.69,125.65,466.42,0.0,4398.08,0.0,8.05,0.0,0.0,0.0,0.0,0.0,874.58
11381.78,13760.0,14.32,219.58,504.91,511.25,0.0,13125.45,0.0,8.45,0.0,239.3,0.0,208.2,219.11,952.86
4054.55,4672.39,2.93,450.09,195.45,464.25,0.0,4225.21,0.0,8.44,0.0,0.0,0.0,0.0,0.0,826.0
13459.3,13510.09,16.54,261.49,381.11,545.85,0.0,13842.78,0.0,8.95,0.0,938.85,0.0,926.05,957.38,847.09
7073.45,9297.68,8.55,252.1,208.43,476.64,0.0,8347.49,0.0,8.61,0.0,0.0,0.0,0.0,0.0,885.36
7389.55,7791.77,9.34,250.76,617.08,535.91,0.0,9120.43,0.0,8.28,0.0,58.54,0.0,70.83,70.83,851.27
3133.48,3433.4,3.52,1977.06,88.21,517.06,0.0,3928.97,0.0,9.48,0.0,4722.18,0.0,4387.43,4528.68,890.85
3139.75,3855.56,3.76,474.63,49.54,507.1,0.0,4143.75,0.0,8.59,0.0,0.0,0.0,0.0,0.0,805.93
12264.58,15712.04,17.06,545.82,192.13,531.35,0.0,16231.87,4170.18,8.26,0.0,292.22,0.0,292.22,320.04,891.77
3068.54,3830.99,3.33,534.19,83.27,469.92,0.0,3416.03,0.0,8.73,0.0,0.0,0.0,0.0,0.0,924.27
15583.83,20536.0,26.26,130.07,320.54,513.35,0.0,19472.42,0.0,8.55,0.0,510.76,0.0,539.07,475.68,866.67
2947.32,2866.97,2.93,648.12,86.71,538.79,0.0,3415.69,0.0,8.14,0.0,0.0,0.0,0.0,0.0,850.43
8159.51,8700.75,12.2,251.37,147.97,524.66,0.0,8685.08,0.0,8.56,0.0,277.08,0.0,290.15,278.17,916.41
7894.0,9806.93,9.76,201.18,336.04,483.09,0.0,9663.34,0.0,8.82,0.0,1.58,0.0,1.6,1.51,799.2
3882.42,4381.97,4.84,469.84,118.0,483.56,0.0,4929.38,0.0,7.91,0.0,0.0,0.0,0.0,0.0,921.3
4902.91,6679.62,5.36,323.99,123.52,523.01,0.0,5928.58,0.0,9.2,0.0,141.99,0.0,141.68,132.5,950.76
3508.08,4242.52,4.8,840.3,198.3,554.94,0.0,4947.65,1402.48,8.46,0.0,1.53,0.0,1.37,1.57,810.47
32605.21,35347.82,45.85,1106.89,1887.93,510.73,0.0,36986.52,0.0,8.82,0.0,34279.67,0.0,35680.2,35819.58,818.94
8270.62,9230.26,8.72,292.49,61.64,491.16,0.0,8820.16,0.0,8.37,0.0,0.0,0.0,0.0,0.0,820.49
5368.96,6229.79,7.79,368.96,115.67,530.79,0.0,6359.5,0.0,9.51,0.0,222.87,0.0,260.42,255.88,932.26
3717.84,4063.76,4.48,457.67,113.05,553.1,0.0,4352.59,0.0,8.56,0.0,0.0,0.0,0.0,0.0,814.3
3348.44,3507.52,3.11,466.21,177.48,481.23,0.0,4132.63,0.0,9.14,0.0,0.0,0.0,0.0,0.0,901.09
3771.21,5304.86,5.17,430.98,84.28,500.5,0.0,4647.29,0.0,8.83,0.0,0.0,0.0,0.0,0.0,795.52
4522.33,5817.86,4.41,381.64,227.47,535.33,0.0,5875.7,0.0,8.1,0.0,0.0,0.0,0.0,0.0,797.72
3496.34,4171.22,3.76,517.11,125.73,475.29,0.0,4220.73,0.0,8.08,0.0,0.0,0.0,0.0,0.0,789.69
3446.82,4130.27,2.55,581.35,70.32,489.72,0.0,3863.54,0.0,8.07,0.0,311.75,0.0,292.38,293.27,793.32
7506.19,10009.8,9.62,213.31,331.72,529.66,0.0,9683.57,0.0,7.98,0.0,0.0,0.0,0.0,0.0,851.27
9233.3,10422.47,9.56,200.92,357.13,503.02,0.0,10119.98,0.0,8.69,0.0,0.0,0.0,0.0,0.0,865.8
3644.04,4015.15,4.39,471.63,100.83,488.76,0.0,4397.74,0.0,8.93,0.0,0.0,0.0,0.0,0.0,902.97
2955.37,2956.16,2.78,654.57,88.02,466.42,0.0,3487.9,0.0,9.04,0.0,151.31,0.0,136.05,156.73,920.32
3535.45,3956.34,4.55,505.02,118.11,503.02,0.0,4115.68,0.0,8.81,0.0,320.77,0.0,329.51,325.84,801.43
4697.67,5867.9,6.76,373.76,132.47,502.51,0.0,5775.12,0.0,8.44,0.0,84.26,0.0,83.28,80.3,795.52
20787.96,22565.75,26.83,805.86,779.45,504.54,0.0,26505.44,15684.94,9.19,0.0,370.58,0.0,443.31,381.42,941.42
4076.71,4562.68,5.57,422.4,91.06,502.51,0.0,4824.9,0.0,9.61,0.0,171.3,0.0,164.93,177.66,875.47
27481.67,30584.62,32.94,61.57,547.54,551.88,0.0,31244.38,0.0,7.98,0.0,71.21,0.0,64.35,71.66,844.6
3900.36,4369.94,4.9,591.12,120.08,541.71,0.0,4775.05,0.0,9.59,0.0,669.67,0.0,717.36,737.79,891.77
3670.5,4738.1,4.52,495.6,115.52,463.39,0.0,4946.12,0.0,9.48,0.0,0.0,0.0,0.0,0.0,945.55
3638.43,4712.38,4.81,544.07,115.85,550.66,0.0,4169.53,0.0,9.0,0.0,0.0,0.0,0.0,0.0,820.49
7131.32,7234.77,9.16,303.74,86.21,462.53,0.0,8101.77,0.0,9.38,0.0,324.4,0.0,343.78,362.49,928.25
9812.55,10541.42,11.8,253.84,226.41,702.81,0.0,11389.15,0.0,9.01,0.0,449.51,0.0,428.77,438.68,694.44
13007.14,13958.33,14.03,12612.16,1992.34,671.79,0.0,15987.45,0.0,9.62,0.0,180462.51,0.0,155800.97,170609.15,794.62
12196.43,12737.45,20.47,631.54,331.65,739.18,0.0,14042.22,0.0,9.43,0.0,5593.89,0.0,6046.25,6301.03,680.79
10066.8,10721.48,12.52,685.81,220.94,702.11,0.0,10471.96,0.0,8.13,0.0,4890.88,0.0,4783.07,4693.71,662.79
4224.15,4352.57,5.34,343.34,119.87,719.42,0.0,4888.11,0.0,8.95,0.0,0.0,0.0,0.0,0.0,806.08
5481.35,6176.42,7.72,313.42,126.98,636.36,0.0,6416.53,0.0,9.35,0.0,0.0,0.0,0.0,0.0,708.65
6108.48,6775.09,7.06,247.42,138.02,699.3,0.0,7999.57,0.0,8.73,0.0,1.33,0.0,1.41,1.35,693.12
7043.87,8000.6,7.96,310.91,106.29,751.88,0.0,8371.9,0.0,8.09,0.0,240.77,0.0,207.24,234.66,768.58
2767.73,3231.82,3.05,483.09,47.81,685.6,0.0,3493.79,0.0,8.78,0.0,0.0,0.0,0.0,0.0,685.28
12064.14,14347.77,16.38,116.02,182.05,727.65,0.0,14093.16,0.0,8.06,0.0,0.0,0.0,0.0,0.0,702.49
15881.53,16787.74,32.96,416.92,271.19,516.43,0.0,18869.76,0.0,9.16,0.0,4096.74,0.0,3996.09,4339.62,801.39
30525.51,34712.12,44.19,65.13,505.24,563.52,0.0,36408.19,0.0,9.03,0.0,316.47,0.0,336.75,382.84,747.75
3537.26,4025.21,4.5,385.85,168.09,611.11,0.0,4830.13,0.0,9.59,0.0,0.0,0.0,0.0,0.0,790.39
7199.58,8059.67,11.66,227.53,112.0,519.85,0.0,9914.62,0.0,8.04,0.0,0.0,0.0,0.0,0.0,818.93
10318.55,13005.86,14.17,146.37,351.55,502.74,0.0,13787.72,0.0,9.61,0.0,1.53,0.0,1.52,1.56,696.28
10701.28,12307.93,16.36,154.89,228.29,570.54,0.0,13084.49,0.0,9.05,0.0,85.55,0.0,77.27,73.37,704.14
7521.71,7588.8,7.5,273.4,283.52,571.73,0.0,8868.5,0.0,8.68,0.0,0.0,0.0,0.0,0.0,792.06
3447.33,4422.06,2.76,429.58,70.19,605.06,0.0,4505.82,0.0,8.23,0.0,0.0,0.0,0.0,0.0,709.48
6884.28,7865.12,11.1,239.27,77.77,610.43,0.0,9285.03,0.0,8.88,0.0,61.75,0.0,55.0,64.1,719.71
5744.03,6858.06,9.72,329.23,182.96,595.88,0.0,7496.05,0.0,8.93,0.0,291.11,0.0,282.24,289.12,704.8
12174.34,14059.38,17.1,160.4,153.54,515.46,0.0,12512.73,0.0,9.67,0.0,125.31,0.0,126.38,139.86,760.67
4274.98,5320.08,6.26,389.93,95.35,571.13,0.0,5675.65,0.0,9.47,0.0,0.0,0.0,0.0,0.0,746.26
5593.55,6431.53,9.43,924.1,264.99,554.44,0.0,6863.12,3074.76,8.16,0.0,277.46,0.0,250.92,238.91,789.56
4877.5,5451.51,7.18,378.01,129.92,547.26,0.0,6394.39,0.0,8.91,0.0,0.0,0.0,0.0,0.0,753.78
5622.76,5502.04,6.66,704.36,117.03,540.28,0.0,5524.63,1215.2,8.06,0.0,536.1,0.0,631.26,587.23,797.12
8013.6,8900.5,8.7,522.64,240.75,501.82,0.0,10017.0,1748.99,8.29,0.0,37.29,0.0,33.79,34.49,783.77
7399.67,8416.05,10.05,295.9,299.67,517.4,0.0,8443.02,0.0,9.29,0.0,464.48,0.0,482.38,435.39,773.24
5131.32,6554.13,5.56,584.55,69.17,583.86,0.0,7019.6,1201.57,9.13,0.0,0.0,0.0,0.0,0.0,778.07
5769.44,6068.96,5.41,445.05,415.13,583.24,0.0,6304.62,0.0,8.46,0.0,490.12,0.0,419.37,474.33,744.78
5118.17,5847.06,4.71,294.59,334.41,547.26,0.0,6828.24,0.0,9.14,0.0,0.0,0.0,0.0,0.0,791.23
5603.57,7343.15,8.3,939.62,151.97,551.65,0.0,7608.3,0.0,9.28,0.0,4640.35,0.0,4375.05,4130.32,824.34
3565.21,3979.96,4.19,430.97,46.97,513.54,0.0,4079.51,0.0,8.72,0.0,0.0,0.0,0.0,0.0,800.53
4554.84,5907.91,6.37,331.91,149.56,561.8,0.0,5812.76,0.0,7.92,0.0,76.9,0.0,74.95,82.67,747.01
4513.59,5998.1,5.68,3036.21,83.82,567.6,0.0,6055.97,0.0,8.0,0.0,11481.55,0.0,11575.18,11013.82,681.07
5038.5,5717.21,5.25,338.12,64.19,599.78,0.0,6171.33,0.0,8.54,0.0,0.0,0.0,0.0,0.0,717.64
5669.22,5875.16,8.08,290.96,228.03,558.38,0.0,6432.41,0.0,8.82,0.0,0.0,0.0,0.0,0.0,708.14
7769.36,9282.48,11.83,411.93,17.17,600.44,1112.22,8307.82,1112.22,9.25,0.0,81.34,0.0,81.17,84.41,725.99
10751.62,13371.16,18.98,182.85,129.09,576.52,0.0,12766.94,0.0,8.58,0.0,243.12,0.0,251.05,227.79,810.06
37149.57,44518.8,55.58,42.71,395.93,501.82,0.0,47463.05,0.0,8.77,0.0,160.12,0.0,179.58,171.36,750.0
9621.66,10704.27,15.15,257.0,209.27,726.14,0.0,11265.23,0.0,9.12,0.0,99.12,0.0,107.2,110.65,750.67
5763.49,6243.57,7.76,490.17,271.37,736.84,0.0,6407.15,0.0,8.44,0.0,242.88,0.0,259.47,274.84,724.92
17833.48,22932.46,25.64,192.99,645.92,652.99,0.0,24190.95,0.0,7.93,0.0,786.88,0.0,924.25,865.49,659.76
6575.93,7479.21,11.96,327.55,288.08,686.27,0.0,8508.47,0.0,8.23,0.0,203.78,0.0,180.79,187.16,674.44
15566.65,15779.98,20.4,883.42,314.16,756.76,0.0,15550.0,0.0,8.9,0.0,12572.23,0.0,11183.58,12272.89,687.74
15493.18,18155.56,27.64,138.96,525.64,755.94,0.0,20800.53,0.0,8.45,0.0,0.0,0.0,0.0,0.0,720.42
5276.23,7013.77,8.3,492.44,150.89,652.38,0.0,6302.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,699.47
7721.01,8691.02,8.33,280.01,188.84,750.27,0.0,8499.22,0.0,8.33,0.0,0.0,0.0,0.0,0.0,687.74
10064.0,12406.45,13.03,216.8,198.05,710.66,0.0,12155.58,0.0,8.42,0.0,60.53,0.0,59.79,60.65,757.19
4362.01,5036.16,4.66,543.28,127.07,756.76,0.0,5305.81,0.0,8.15,0.0,0.0,0.0,0.0,0.0,709.43
9962.69,11273.9,11.99,911.96,291.01,684.26,0.0,12870.88,5831.58,9.45,0.0,1135.93,0.0,1050.34,993.94,663.53
10977.99,15010.53,18.66,1127.36,69.45,640.44,0.0,14166.4,11682.29,8.74,0.0,228.54,0.0,208.69,234.48,710.88
3257.39,3577.46,3.65,696.91,58.18,703.52,0.0,3283.76,0.0,8.12,0.0,0.0,0.0,0.0,0.0,657.9
4812.9,5318.17,7.81,473.91,107.24,771.78,0.0,5624.6,0.0,8.59,0.0,0.0,0.0,0.0,0.0,635.13
4468.93,5233.93,6.28,553.27,119.96,706.36,0.0,5548.46,0.0,9.11,0.0,0.0,0.0,0.0,0.0,727.18
9092.64,9147.77,10.11,394.3,207.16,699.3,0.0,9905.23,0.0,8.62,0.0,619.01,0.0,584.32,545.68,772.28
9162.81,11100.4,13.3,365.32,300.39,746.27,0.0,12519.21,0.0,9.56,0.0,628.99,0.0,649.32,647.97,754.73
8084.43,9510.23,9.63,303.52,206.38,728.41,0.0,9576.95,0.0,8.46,0.0,0.0,0.0,0.0,0.0,677.06
8306.27,8056.2,10.23,232.43,149.0,671.79,0.0,8842.32,0.0,9.45,0.0,206.56,0.0,212.09,191.97,735.41
5264.41,6828.13,8.96,375.9,89.48,673.72,0.0,7300.11,0.0,8.07,0.0,526.63,0.0,509.47,473.32,685.8
8025.59,8765.4,8.48,362.85,260.27,727.65,0.0,8323.42,0.0,8.7,0.0,211.79,0.0,208.38,197.67,697.24
16040.94,16701.46,18.95,186.91,459.09,758.4,0.0,16212.98,0.0,8.12,0.0,852.11,0.0,793.59,822.67,695.95
6657.31,7591.11,9.93,287.52,69.88,689.66,0.0,8753.07,0.0,9.57,0.0,0.0,0.0,0.0,0.0,716.5
6325.51,7411.45,10.02,267.5,114.39,710.66,0.0,7406.53,0.0,7.97,0.0,0.0,0.0,0.0,0.0,694.66
16941.89,21128.47,26.4,120.84,320.98,692.38,0.0,21446.2,0.0,8.47,0.0,0.0,0.0,0.0,0.0,710.41
5770.38,6000.9,7.05,306.41,243.41,710.66,0.0,5958.74,0.0,8.09,0.0,0.0,0.0,0.0,0.0,812.44
12727.98,14756.99,20.09,214.52,443.79,739.18,0.0,15679.12,0.0,9.26,0.0,1003.84,0.0,937.41,976.92,794.42
6402.17,7597.87,8.89,283.17,213.01,691.7,0.0,8148.84,0.0,9.2,0.0,237.63,0.0,249.57,220.14,697.88
13108.96,15323.47,25.55,179.83,343.57,715.75,0.0,16805.32,0.0,9.33,0.0,306.34,0.0,341.37,317.4,708.4
8526.29,9071.05,9.17,238.54,291.63,674.37,0.0,9925.79,0.0,7.97,0.0,247.25,0.0,235.2,237.83,711.08
12262.24,13920.08,18.91,162.95,313.54,769.23,0.0,14979.19,0.0,7.99,0.0,0.0,0.0,0.0,0.0,797.79
12081.64,12698.29,15.4,317.66,356.11,723.89,0.0,12114.86,539.94,9.18,0.0,0.0,0.0,0.0,0.0,688.31
8033.71,9613.58,11.76,230.17,128.28,700.0,0.0,9645.93,0.0,9.4,0.0,251.15,0.0,229.74,231.07,703.76
18920.68,22499.79,23.12,132.31,440.78,666.03,0.0,23733.77,0.0,8.0,0.0,3.14,0.0,3.02,2.97,794.42
11775.16,11822.92,15.42,157.78,445.3,685.6,0.0,12179.16,0.0,9.18,0.0,142.07,0.0,127.07,147.41,694.66
14476.63,17608.64,23.34,130.06,350.19,707.79,0.0,17461.41,0.0,8.83,0.0,83.37,0.0,90.03,84.7,816.85
